Épocas,Clase,DSC,MAE_Imagen,MAE_Seg,Magnitud_Deform
50,21,0.26798604915218754,0.01562642,1.3090829997417355,0.7538704
50,22,0.4116626923908456,0.01562642,1.3090829997417355,0.7538704
50,23,0.528861211260232,0.01562642,1.3090829997417355,0.7538704
50,24,0.5415762834415974,0.01562642,1.3090829997417355,0.7538704
50,25,0.46567009336969123,0.01562642,1.3090829997417355,0.7538704
50,26,0.40902499854984953,0.01562642,1.3090829997417355,0.7538704
50,27,0.478945484909794,0.01562642,1.3090829997417355,0.7538704
50,28,0.46824523230501264,0.01562642,1.3090829997417355,0.7538704
50,29,0.5718030101360557,0.01562642,1.3090829997417355,0.7538704
50,30,0.43972903438986954,0.01562642,1.3090829997417355,0.7538704
50,31,0.39830062714934317,0.01562642,1.3090829997417355,0.7538704
50,32,0.32068345983195073,0.01562642,1.3090829997417355,0.7538704
100,1,0.5752821852135708,0.013599641,1.3043256069214877,0.9473624
100,2,0.5330280434429135,0.013599641,1.3043256069214877,0.9473624
100,3,0.517777073236778,0.013599641,1.3043256069214877,0.9473624
100,4,0.548290225709315,0.013599641,1.3043256069214877,0.9473624
100,5,0.6619860932959819,0.013599641,1.3043256069214877,0.9473624
100,6,0.623849220731697,0.013599641,1.3043256069214877,0.9473624
100,7,0.45378151260475313,0.013599641,1.3043256069214877,0.9473624
100,8,0.6183486238528564,0.013599641,1.3043256069214877,0.9473624
100,9,0.5038109756095428,0.013599641,1.3043256069214877,0.9473624
100,10,0.4459420705475356,0.013599641,1.3043256069214877,0.9473624
100,11,0.5936720199627946,0.013599641,1.3043256069214877,0.9473624
100,12,0.6089624954522203,0.013599641,1.3043256069214877,0.9473624
100,13,0.5978124594697168,0.013599641,1.3043256069214877,0.9473624
100,14,0.6959086504021,0.013599641,1.3043256069214877,0.9473624
100,15,0.5286275850277485,0.013599641,1.3043256069214877,0.9473624
100,16,0.4896056679402539,0.013599641,1.3043256069214877,0.9473624
100,17,0.48391073850316774,0.013599641,1.3043256069214877,0.9473624
100,18,0.4782647625015718,0.013599641,1.3043256069214877,0.9473624
100,19,0.44441911492307745,0.013599641,1.3043256069214877,0.9473624
100,20,0.459554576471413,0.013599641,1.3043256069214877,0.9473624
100,21,0.28492437794740205,0.013599641,1.3043256069214877,0.9473624
100,22,0.41729468067527514,0.013599641,1.3043256069214877,0.9473624
100,23,0.5304641288962766,0.013599641,1.3043256069214877,0.9473624
100,24,0.5391923990496872,0.013599641,1.3043256069214877,0.9473624
100,25,0.47771108633235804,0.013599641,1.3043256069214877,0.9473624
100,26,0.4111754487549476,0.013599641,1.3043256069214877,0.9473624
100,27,0.48616217170068937,0.013599641,1.3043256069214877,0.9473624
100,28,0.4642001732659471,0.013599641,1.3043256069214877,0.9473624
100,29,0.5610942123449498,0.013599641,1.3043256069214877,0.9473624
100,30,0.44818348451368895,0.013599641,1.3043256069214877,0.9473624
100,31,0.3858909385767744,0.013599641,1.3043256069214877,0.9473624
100,32,0.3109004037185411,0.013599641,1.3043256069214877,0.9473624
